Current_Partner,Former_Partner,When_Relationship_Start,When_Relationship_end,Relationship_end_Since,Reason_Relationship_end,Reason_Relationship_end_misc,Relationship_Problem_end_time,Relationship_Status,Relationship_Status_misc,Years_With_Partner,Number_Children,Age_Children,Youngest_Age_Children,Oldest_Age_Children,Highest_Education_Completed,Education_Impacted_By_Partner,Both_Physician_or_Student,Stay_at_home_parent,Small_Business_Owner,Contractor_Freelancer,Part_time_employment_<30_hours,Full_Time_Employment_30<,Volunteer,Student,Unemployed_looking_work,Work_Misc,Career_Impact_Partner,Life_Satisfaction,Stress_Factor_Lack_Time,Stress_Factor_Business,Stress_Factor_Work_Overload,Stress_Factor_Work_Issues_Home,Primary_Cause_Stress,Primary_Cause_Stress_misc,Family_Quality_Life,Mental_QoL,Physical_QoL,Emotional_QoL,Sexual_QoL,Overall_QoL,Time_Alone_Partner,Quality_Time_Partner,Partner_Tired_After,Partner_Irritable_After,Partner_Busy_Work_After,Partner_Work_No_Participation,Partner_Argue_Work_Time,Partner_Participant_Household_Activities,Pride_Medical_Family,Partner_Show_Appreciation,Sacrificses_Worthwhile,Partner_Time_Children,Children_3_Concerns,Children_Health_Conditions,Children_Mental_Conditions,Children_Discipline,Children_Effective_Comunication,Childreen_Screentime,Children_Academic_Performance,Children_Entitlement,Children_Friends,Children_Bullying,Children_Substances,Children_Self_Esteem,Children_Nutrition,Children_Sleep,Children_Physical_Image,Children_Extracurricular,Children_Body_Image,Children_Other,Community_Left_Out,Community_Unknwon,Community_Isolated,Community_Detached,Fullfilment_Individual,Fulfillment_as_Partner,Fulfillment_as_Parent,7_Days_Sleep_Quality,7_Days_Sleep_Refresh,7_Day_Sleep_Problem,7_Day_Problem_Fall_Asleep,Time_Moderate_Exercise,Time_Vigorous_Exercise,Time_Strength_Training,Frequency_Engage_Hobbies,Frequency_Relaxation_Techniques,Frequency_Draw_Religion,Frequency_Worship_Services,Participate_Counseling,Participate_Counseling_if_Problem,Participate_Individual_Counseling,Participate_Family_Counseling,Participate_Marriage_Enrichment,Participate_Physiciatric_Care,Participate_Support_Groups,Participate_Stress_Management,Participate_Addiction_Program,Participate_Life_Coaching,Participate_Pastoral,Participate_Support_Groups,Household_Annual_Salary,Household_Loan_End_Residency,Household_Loan_Current,Years_Post_residemcu,Alternative_Income,Education_Current_You,Satisfaction_Financial_Life,Frequency_Finance_Conflict,Frequency_Financial_Decision,Frequency_Savings_Decision,Frequency_Investment_Decision,Hours_Partner_Work,At_Call_Days_Per_Month,What is your physician partner's primary practice setting?,Number_Hospitals_Hired_Cumulative,Partner_Specialty,Partner_Specialty_Misc,Partner_Surgical_Specialty,Partner_Surgical_Specialty_Misc,Week_Vacation_Year,Frequency_Medical_Conference_Together,Frequency_Alone_Travel,Opinion_Workplace_Family_Supportive,Opinion_Workplace_Family_Supportive_Misc,Opinion_Partner_More_Effort,Opinion_Partner_More_Effort_Misc,Frequency_Thought_Breakup,Choose_Physician_Again,Choose_Partner_Again,Recommend_Physician_Career_Family,Age,Gender,Gender_Misc,Partner_Gender,Partner_Gender_Misc,Region_Country,Region_Other
Yes,,,,,,,,Married,,11-20 years,3,,5,11,"Master's degree (e.g. MA, MS, Med)",Negatively,,Yes,,,,,,,,Home Educator,Negatively,72,Somewhat stressful,Neither stressful or not stressful,Very stressful,Somewhat stressful,Other (please specify),Being married but feeling like i do life solo 90% of the time and had to leave my career and not being able to go back ,64,49,80,66,45,65,61-90 minutes,<20 minutes,Every day,A few times a week,A few times a month,Frequently,Rarely,Sometimes,Sometimes,Rarely,Sometimes,0-19 minutes,,,mental and emotional needs,,,,,,friends,,,,,,,,,All 3 children are neurodivergent (ADHD),Usually,Usually,Usually,Usually,Somewhat unfulfilled,Somewhat unfulfilled,Somewhat fulfilled,fair,a little bit,quite a bit,quite a bit,61-120 minutes per week,30-60 minutes per week,three times per week,Seldom,Seldom,Daily,Weekly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$400K-$499K,$300K-$399K,$300K-$399K,1-5 years,No,,Neither satisfied nor dissatisfied,Rarely,Sometimes,I do.,I do.,60-69 hrs,6,Private practice,1,radiology,,,,> 7 weeks,Usually,Never,Disagree,,Agree,"A balanced division of ""extra"" work so that my spouse isn't staying an extra 3- 4 hours after a 9.5 hr shift.",66,Maybe,No,No,45,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,3,,8 months,5,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,Negatively,27,Very stressful,Somewhat stressful,Very stressful,Very stressful,household management,,53,35,55,43,,22,61-90 minutes,21-45 minutes,Every day,A few times a week,Every day,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,0-19 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,,nutrition/diet,,,,,,Usually,Sometimes,Usually,Usually,Somewhat unfulfilled,Somewhat unfulfilled,Somewhat fulfilled,very poor,not at all,very much,quite a bit,<30 minutes per week,<30 minutes per week,none,Monthly,Seldom,Never,Never,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$300K-$399K,$400K-$499K,$300K-$399K,1-5 years,No,,Dissatisfied,Never,Sometimes,I do.,I do.,70-79 hrs,2,Hospital/Multi-physician group,1,Other (please specify),HemeOnc,,,4 weeks,Never,Never,Neither agree nor disagree,,Strongly agree,"Follow through with promises made during contract negotiations, better work life balance, higher pay ",50,No,Maybe,No,,,,,,,
Yes,,,,,,,,Married,,>20 years,2,,18,20,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,Yes,,Volunteer,,,,Not at all,90,Somewhat stressful,Neither stressful or not stressful,Very stressful,Somewhat stressful,parenting teenagers,,80,50,90,75,80,80,>120 minutes,91-120 minutes,A few times a week,A few times a week,A few times a week,Sometimes,Never,Frequently,Always,Frequently,Sometimes,Not applicable,,,mental and emotional needs,,effective communication,screen time,,,,,,,,,,,,,Sometimes,Usually,Usually,Usually,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,poor,somewhat,quite a bit,very much,>150 minutes per week (e.g. 2 1/2 hrs),30-60 minutes per week,twice per week,Weekly,Seldom,Never,Never,I never have.,Would probably not go,,,,,,,,,,,$400K-$499K,$0 ,$0 ,11-15 years,No,,Neither satisfied nor dissatisfied,Sometimes,Usually,,,70-79 hrs,1,Hospital/Multi-physician group,3,anesthesiology,,,,6 weeks,Usually,Few times a year,Disagree,,Neither agree nor disagree,,,,,,,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,11-20 years,4,,1,8,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Positively,76,Somewhat stressful,Somewhat not stressful,Very stressful,Somewhat not stressful,parenting young children,,59,67,86,56,42,72,46-60 minutes,46-60 minutes,A few times a week,A few times a week,A few times a month,Frequently,Rarely,Rarely,Sometimes,Always,Frequently,20-44 minutes,,,mental and emotional needs,discipline/behavior,,screen time,,,,,,,,,,,,,Rarely,Rarely,Rarely,Rarely,Very fulfilled,Somewhat fulfilled,Very fulfilled,good,quite a bit,not at all,not at all,61-120 minutes per week,<30 minutes per week,once per week,Weekly,Weekly,Daily,2-3 times per month,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,,,$200K-$299K,$1-$99K,$0 ,1-5 years,No,,Satisfied,Rarely,Usually,,,60-69 hrs,3,Hospital/Multi-physician group,2,surgical specialty,,Orthopaedic,,3 weeks,Sometimes,Never,Neither agree nor disagree,,Strongly agree,Somehow working out the scheduling so my husband can be home more during the little kidsâ€™ awake hours. He rarely sees our toddlers during the week. ,0,Yes,Yes,Maybe,,,,,,,
Yes,,,,,,,,Married,,11-20 years,4,,5,12,"Master's degree (e.g. MA, MS, Med)",Positively,,Yes,,,Yes,,,Student,,,Negatively,84,Somewhat stressful,Not stressful at all,Neither stressful or not stressful,Neither stressful or not stressful,parenting young children,,72,66,73,51,88,83,46-60 minutes,61-90 minutes,Once a month or less,A few times a month,A few times a month,Rarely,Rarely,Always,Rarely,Frequently,Sometimes,60-89 minutes,,medical/health conditions,,discipline/behavior,,,,,,,,,nutrition/diet,,,,,,Rarely,Rarely,Sometimes,Never,Very fulfilled,Very fulfilled,Very fulfilled,fair,somewhat,a little bit,somewhat,61-120 minutes per week,30-60 minutes per week,none,3-5 times per week,Seldom,Weekly,Weekly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,Pastoral,,$700K-$799K,$100K-$199K,$100K-$199K,6-10 years,Yes,,Very satisfied,Rarely,Always,,,50-59 hrs,4,Private practice,1,urology,,,,> 7 weeks,Never,Yearly,Neither agree nor disagree,,Neither agree nor disagree,,,,,,38,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,11-20 years,5+,,4,17,"Associate degree (e.g. AA, AS)",Not at all,,Yes,,,,,,,,,Not at all,85,Neither stressful or not stressful,Neither stressful or not stressful,Not stressful at all,Somewhat stressful,parenting young children,,76,83,74,68,57,83,46-60 minutes,<20 minutes,A few times a year or less,A few times a year or less,Once a month or less,Sometimes,Rarely,Sometimes,Sometimes,Frequently,Frequently,60-89 minutes,,,mental and emotional needs,,,screen time,,,,,,self-esteem/confidence,,,,,,,Sometimes,Sometimes,Sometimes,Usually,Somewhat fulfilled,Neither unfulfilled or fulfilled,Somewhat fulfilled,good,quite a bit,a little bit,a little bit,<30 minutes per week,<30 minutes per week,none,2-3 times per month,Seldom,Daily,Weekly,I never have.,Would probably not go,,,,,,,,,,,$400K-$499K,$200K-$299K,$0 ,6-10 years,Yes,,Satisfied,Sometimes,Usually,,,40-49 hrs,6,Private practice,2,anesthesiology,,,,> 7 weeks,Rarely,Twice a year,Agree,Provide family activities,Agree,Easier to get off for school things during the day,11,Yes,Yes,Yes,39,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,6-10 years,3,,17 months,7 years,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,77,Very stressful,Somewhat stressful,Very stressful,Somewhat stressful,parenting young children,,82,74,79,69,53,76,46-60 minutes,46-60 minutes,A few times a week,A few times a week,Once a week,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,20-44 minutes,,,,discipline/behavior,,screen time,,,,,,,nutrition/diet,,,,,,Sometimes,Sometimes,Sometimes,Rarely,Somewhat unfulfilled,Somewhat fulfilled,Somewhat fulfilled,poor,a little bit,somewhat,a little bit,<30 minutes per week,<30 minutes per week,none,Seldom,Monthly,3-5 times per week,Weekly,I never have.,Would probably go,,,,,,,,,,,$50K-$99K,$200K-$299K,$200K-$299K,0,No,3rd year residency (PGY3),Neither satisfied nor dissatisfied,Rarely,Always,,,60-69 hrs,0,Hospital/Multi-physician group,0,internal medicine or related specialty,,,,3 weeks,Never,Never,Agree,They have been flexible when needing both parents for childâ€™s medical emergency. ,Agree,More family friendly hours. It would be nice if he could be around more when my kids are home/awake. ,0,Maybe,Yes,Maybe,31,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,6-10 years,4,,1,5,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Not at all,74,Somewhat stressful,Somewhat stressful,Very stressful,Somewhat stressful,lack of time,,80,60,77,60,33,79,<20 minutes,46-60 minutes,A few times a month,A few times a year or less,Once a month or less,Sometimes,Rarely,Frequently,Sometimes,Frequently,Sometimes,60-89 minutes,,,mental and emotional needs,discipline/behavior,,screen time,,,,,,,,,,,,,Usually,Usually,Usually,Usually,Neither unfulfilled or fulfilled,Somewhat unfulfilled,Somewhat fulfilled,poor,somewhat,somewhat,somewhat,<30 minutes per week,<30 minutes per week,none,2-3 times per month,Seldom,Daily,Weekly,"Yes, 1-2 times each month.",Would probably go,Individual counseling or therapy,Marriage or family counseling,,,Support group,,,,,,$50K-$99K,$1-$99K,$1-$99K,0,No,Intern (PGY1),Dissatisfied,Never,Usually,,,60-69 hrs,0,Active Military,0,Other (please specify),Military general practitioner ,,,2 weeks,Never,Never,Neither agree nor disagree,,Agree,More social opportunities for spouses with young children ,14,Maybe,Yes,No,,,,,,,
Yes,,,,,,,,Other (please specify),Separated,11-20 years,1,2,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,Yes,,Yes,,,,,Negatively,56,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Very stressful,marital issues,,28,36,70,38,3,67,21-45 minutes,<20 minutes,Every day,Every day,Every day,Frequently,Sometimes,Frequently,Sometimes,Rarely,Rarely,45-59 minutes,,,,,effective communication,screen time,,,,,,self-esteem/confidence,,,,,,,Never,Never,Never,Sometimes,Somewhat fulfilled,Not fulfilled at all,Somewhat fulfilled,good,a little bit,somewhat,a little bit,<30 minutes per week,>150 minutes per week (e.g. 2 1/2 hrs),twice per week,Monthly,Seldom,Daily,Weekly,"Yes, weekly or more often",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,Life coaching,,,$200K-$299K,$0 ,$0 ,0,No,4th year residency (PGY4),Satisfied,Sometimes,Rarely,My spouse/partner does.,My spouse/partner does.,70-79 hrs,4,Hospital/Multi-physician group,0,anesthesiology,,,,2 weeks,Sometimes,Never,Neither agree nor disagree,,Strongly agree,More time off for parental leave. Formal connections with other spouses/families. Childcare with availability for physicians kids. Recognition of spouse support on social media. Family friendly social events. Events without alcohol. ,80,Maybe,No,Maybe,,,,,,,
Yes,,,,,,,,Married,,6-10 years,2,,14 months ,3 years,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Not at all,100,Somewhat not stressful,Not stressful at all,Somewhat stressful,Somewhat not stressful,parenting young children,,93,80,76,79,90,93,91-120 minutes,91-120 minutes,Once a week,A few times a month,Once a month or less,Rarely,Never,Always,Sometimes,Frequently,Frequently,60-89 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,,,sleep habits,,,,,Sometimes,Sometimes,Sometimes,Rarely,Very fulfilled,Very fulfilled,Very fulfilled,fair,somewhat,a little bit,a little bit,61-120 minutes per week,30-60 minutes per week,twice per week,Monthly,Monthly,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$50K-$99K,$300K-$399K,$200K-$299K,0,No,2nd year residency (PGY2),Neither satisfied nor dissatisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,50-59 hrs,6,"Not in practice, resident",0,anesthesiology,,,,4 weeks,Never,Never,Agree,Donâ€™t make him work unnecessary hours and happy for him to go home to his family ,Neither agree nor disagree,,,,,,31,Female,Woman,Male,Man,Northeast,
Yes,,,,,,,,Married,,11-20 years,0,,,,"Bachelor's degree (e.g. BA, BS)",Negatively,,,Yes,,Yes,,,,,,Negatively,48,Very stressful,Very stressful,Very stressful,Very stressful,finances,,70,50,50,50,40,50,61-90 minutes,21-45 minutes,Once a week,A few times a month,A few times a week,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat unfulfilled,Somewhat unfulfilled,,fair,somewhat,quite a bit,quite a bit,121-150 minutes per week,30-60 minutes per week,once per week,2-3 times per month,Seldom,Never,Never,I never have.,Would probably go,,,,,,,,,,,$50K-$99K,$300K-$399K,$300K-$399K,0,No,6th year residency (PGY6),Dissatisfied,Usually,Usually,,,70-79 hrs,0,Hospital/Multi-physician group,0,surgical specialty,,Other (please specify),"General, Burn, Trauma and Critical Care Surgery",4 weeks,Sometimes,Few times a year,Disagree,,Agree,ANY organized event for spouse families to get to know each other. There wasnâ€™t even a holiday party this year. No welcome event for new residents/fellows happened like at our other hospitals in the past. No organized events outside of the hospital work day have ever been planned. ,20,No,Yes,No,34,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,6-10 years,2,,0,6,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,Yes,Yes,,Volunteer,,,,Negatively,39,Somewhat stressful,Somewhat not stressful,Very stressful,Somewhat stressful,marital issues,,40,40,30,30,9,50,61-90 minutes,<20 minutes,A few times a week,A few times a week,A few times a week,Frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,20-44 minutes,,,,,,,academic performance,,,,,self-esteem/confidence,,,,extra-curricular activities,,,Rarely,Rarely,Rarely,Rarely,Neither unfulfilled or fulfilled,Somewhat unfulfilled,Very fulfilled,poor,a little bit,a little bit,somewhat,<30 minutes per week,<30 minutes per week,none,2-3 times per month,Seldom,Monthly,Never,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,Marriage or family counseling,,,,,,Life coaching,,,$500K-$599K,$200K-$299K,$1-$99K,1-5 years,No,,Satisfied,Sometimes,Usually,,,70-79 hrs,7+,Hospital/Multi-physician group,2,surgical specialty,,Other (please specify),Trauma / Acute Care,2 weeks,Sometimes,Never,Agree,My husbandâ€™s brother just passed away suddenly in December. They rearranged the call schedule so we could go grieve with our family. ,Agree,More social gatherings for spouses / families to meet ,51,No,Maybe,Maybe,42,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,11-20 years,4,,7,14,"Associate degree (e.g. AA, AS)",Not at all,,Yes,,,,,,,,,Not at all,73,Neither stressful or not stressful,Not stressful at all,Somewhat stressful,Not stressful at all,health issues,,88,78,68,75,88,92,61-90 minutes,91-120 minutes,A few times a week,A few times a month,A few times a year or less,Sometimes,Rarely,Frequently,Sometimes,Always,Frequently,20-44 minutes,,,,,,screen time,,,,,,,nutrition/diet,,physical activity,,,,Rarely,Rarely,Never,Rarely,Somewhat unfulfilled,Somewhat fulfilled,Somewhat fulfilled,fair,a little bit,quite a bit,not at all,61-120 minutes per week,<30 minutes per week,none,Weekly,Seldom,Daily,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,,,$300K-$399K,$500K+,$400K-$499K,1-5 years,No,,Dissatisfied,Sometimes,Always,,,50-59 hrs,6,Other (please specify),2,family medicine,,,,> 7 weeks,Sometimes,Twice a year,Neither agree nor disagree,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,3,,18,24,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,Volunteer,,,,Negatively,,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,household management,,87,95,96,95,85,92,61-90 minutes,91-120 minutes,A few times a month,Once a week,A few times a week,Frequently,Rarely,Frequently,Always,Frequently,Frequently,20-44 minutes,,,,,,,,,,,,,,,,,,college transition ,Never,Never,Never,Never,Very fulfilled,Very fulfilled,Very fulfilled,good,quite a bit,a little bit,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),30-60 minutes per week,four times per week or more,Weekly,3-5 times per week,Daily,3-5 times per week,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,Marriage enrichment,,,,,,,,$400K-$499K,$0 ,$0 ,31+ years,Yes,,Satisfied,Sometimes,Usually,,,50-59 hrs,0,Private practice,1,internal medicine or related specialty,,,,3 weeks,Sometimes,Twice a year,Agree,Hospital administration is knowledgeable of my family and often asks about our children.  My husband is now CMO at our hospital and works in the hospital he was born in.. so I realize I am somewhat the exception where this is concerned.  ,Disagree,,,,,,56,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,2,,5,8,"Bachelor's degree (e.g. BA, BS)",Negatively,,,,,,Yes,,,,,Negatively,30,Very stressful,Very stressful,Very stressful,Very stressful,lack of time,,30,34,10,21,28,37,>120 minutes,46-60 minutes,A few times a week,A few times a month,A few times a week,Always,Frequently,Rarely,Sometimes,Frequently,Sometimes,0-19 minutes,,,mental and emotional needs,,,screen time,,,,,,self-esteem/confidence,,,,,,,Rarely,Sometimes,Sometimes,,,Somewhat unfulfilled,Somewhat fulfilled,poor,a little bit,a little bit,not at all,<30 minutes per week,<30 minutes per week,none,Seldom,Seldom,Seldom,Seldom,I never have.,Would definitely go,,,,,,,,,,,$100K-$199K,$400K-$499K,$500K+,0,No,4th year residency (PGY4),Dissatisfied,Rarely,Sometimes,I do.,I do.,80-89 hrs,5,"Not in practice, resident",0,,,General,,3 weeks,Sometimes,Every few years,Disagree,,Agree,,29,No,,No,,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,11-20 years,5+,,6,17,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,75,Somewhat stressful,Neither stressful or not stressful,Very stressful,Neither stressful or not stressful,household management,,76,60,70,60,75,70,21-45 minutes,<20 minutes,A few times a month,A few times a month,Once a month or less,Sometimes,Rarely,Frequently,Sometimes,Always,Sometimes,20-44 minutes,,,mental and emotional needs,,effective communication,,,,,,,,,,physical activity,,,,Usually,Usually,Usually,Usually,Somewhat unfulfilled,Neither unfulfilled or fulfilled,Somewhat fulfilled,fair,a little bit,somewhat,a little bit,<30 minutes per week,>150 minutes per week (e.g. 2 1/2 hrs),twice per week,Daily,Daily,3-5 times per week,Weekly,I never have.,Would probably go,,,,,,,,,,,$200K-$299K,$300K-$399K,$200K-$299K,6-10 years,No,,Dissatisfied,Rarely,Always,,,40-49 hrs,0,Hospital/Multi-physician group,2,internal medicine or related specialty,,,,0,Sometimes,Every few years,Agree,When weâ€™ve had family emergencies heâ€™s never had a problem getting time off. ,Neither agree nor disagree,,,,,,39,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,6-10 years,2,,1,2,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,Yes,,,,,,Negatively,35,Very stressful,Not stressful at all,Very stressful,Somewhat stressful,finances,,43,40,28,15,5,12,46-60 minutes,46-60 minutes,A few times a week,A few times a week,Every day,Frequently,Rarely,Frequently,Frequently,Always,Always,90+ minutes,,,mental and emotional needs,,effective communication,,,,,,,,,,,,body image,,Usually,Always,Usually,Usually,Somewhat unfulfilled,Somewhat fulfilled,Very fulfilled,good,somewhat,somewhat,somewhat,30-60 minutes per week,<30 minutes per week,none,Daily,3-5 times per week,Never,Never,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,Psychiatric care,,,,,,,$50K-$99K,$200K-$299K,$100K-$199K,1-5 years,No,,Very dissatisfied,Usually,Always,,,80-89 hrs,7+,Other (please specify),1,psychiatry,,,,4 weeks,Never,Never,Neither agree nor disagree,,Strongly agree,"Clearer guidelines for breaks, more lead time for vacation. ",,Maybe,Yes,No,35,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,6-10 years,3,,1,6,"Some college, no degree",Positively,,Yes,,,,,,,,,Not at all,67,Very stressful,Neither stressful or not stressful,Very stressful,Very stressful,parenting young children,,57,50,58,50,47,65,21-45 minutes,<20 minutes,Every day,Once a week,A few times a week,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,0-19 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,self-esteem/confidence,,,,,,,Usually,Usually,Usually,Usually,Somewhat unfulfilled,Somewhat unfulfilled,Very fulfilled,poor,not at all,very much,quite a bit,61-120 minutes per week,<30 minutes per week,none,Never,Never,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$0K-$49K,$100K-$199K,$0 ,1-5 years,No,,Dissatisfied,Usually,Usually,,,>90 hours,7+,Hospital/Multi-physician group,3,Other (please specify),ENT,,,3 weeks,Never,Never,Disagree,,Agree,Pay more for what heâ€™s doing. Actually stick to 80 hour weeks. Make sure he has at least 1 day off a week. ,0,Maybe,Yes,No,,,,,,,
Yes,,,,,,,,Married,,>20 years,3,,36,49,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,,Volunteer,,,,Not at all,100,Neither stressful or not stressful,Neither stressful or not stressful,Neither stressful or not stressful,Neither stressful or not stressful,health issues,,100,100,100,100,100,100,>120 minutes,>120 minutes,Never,Never,Never,Never,Never,Always,Always,Always,Always,90+ minutes,not applicable,,,,,,,,,,,,,,,,,,Never,Never,Never,Never,Very fulfilled,Very fulfilled,Very fulfilled,good,quite a bit,a little bit,a little bit,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,none,Daily,Seldom,2-3 times per month,2-3 times per month,I never have.,Would probably go,,,,,,,,,,,$100K-$199K,$0 ,$0 ,31+ years,No,,Satisfied,Never,Usually,,,,,,1,surgical specialty,,,,,Usually,Few times a year,Agree,,,,0,Yes,Yes,Yes,,Female,Woman,Male,Man,Northeast,
No,Yes,University - Undergratduate,Early Career (0-10 years),3-4 years,Infidelity or extramarital affair (theirs),,1-2 years,Divorced,,11-20 years,3,,7,13,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,Yes,,,,,,,,Negatively,30,Very stressful,Somewhat stressful,Somewhat stressful,Very stressful,household management,,28,68,69,29,11,48,<20 minutes,21-45 minutes,A few times a week,Every day,Every day,Frequently,Frequently,Rarely,Sometimes,Never,Rarely,20-44 minutes,,,mental and emotional needs,,,,,entitlement,,,,self-esteem/confidence,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat fulfilled,Not fulfilled at all,Somewhat fulfilled,good,somewhat,somewhat,somewhat,121-150 minutes per week,<30 minutes per week,none,Monthly,Weekly,Daily,Weekly,"Yes, weekly or more often",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,,,$100K-$199K,$500K+,$500K+,6-10 years,Yes,,Dissatisfied,Usually,Rarely,My spouse/partner does.,My spouse/partner does.,40-49 hrs,0,Private practice,1,Other (please specify),addiction (methadone clinics only),,,0,Never,Every few years,Strongly disagree,,Agree,,85,No,No,No,38,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,>20 years,5+,,9,17,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,,,,,Negatively,100,Somewhat not stressful,Somewhat stressful,Neither stressful or not stressful,Somewhat not stressful,parenting teenagers,,87,70,75,76,70,85,21-45 minutes,46-60 minutes,A few times a year or less,A few times a year or less,A few times a year or less,Sometimes,Rarely,Frequently,Rarely,Frequently,Frequently,45-59 minutes,,,mental and emotional needs,,effective communication,screen time,,,,,,,,,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Very fulfilled,Very fulfilled,Very fulfilled,good,quite a bit,a little bit,quite a bit,61-120 minutes per week,121-150 minutes per week,twice per week,2-3 times per month,Weekly,Daily,Weekly,I never have.,Would probably not go,,,,,,,,,,,$500K-$599K,$300K-$399K,$200K-$299K,6-10 years,No,,Satisfied,Rarely,Always,,,40-49 hrs,7+,Hospital/Multi-physician group,3,anesthesiology,,,,3 weeks,Rarely,Never,Strongly agree,,Neither agree nor disagree,,,,,,43,Female,Woman,Female,Man,Southwest,
Yes,,,,,,,,Married,,6-10 years,1,13 months ,,,"Bachelor's degree (e.g. BA, BS)",Negatively,,,,,,Yes,,,,,Negatively,76,Somewhat stressful,Somewhat stressful,Very stressful,Very stressful,marital issues,,66,69,47,41,46,68,61-90 minutes,<20 minutes,A few times a week,A few times a week,A few times a month,Sometimes,Never,Sometimes,Rarely,Frequently,Sometimes,45-59 minutes,,,,discipline/behavior,,,,,,,,,nutrition/diet,sleep habits,,,,,Usually,Usually,Usually,Usually,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,fair,a little bit,quite a bit,somewhat,<30 minutes per week,<30 minutes per week,none,Seldom,Never,Weekly,Weekly,"Yes, I did in the past.",Would probably not go,,,,,,,,Life coaching,,,$100K-$199K,$0 ,$0 ,0,No,Intern (PGY1),Neither satisfied nor dissatisfied,Sometimes,Always,,,80-89 hrs,4,"Not in practice, resident",0,physical medicine and rehabilitation,,,,3 weeks,Rarely,Never,Disagree,,Strongly agree,"Reduced hours spent working, better healthcare benefits etc ",21,No,Yes,No,28,Female,Woman,Male,Man,Southeast,
